2238517
5116
84            998243          
6            7          61
2            9          62
3            3          62-year-old
8            12          63
1            1          63-year-old
1            1          63rd
7            19          64
1            1          64'
1            1          64-30a
1            1          641
4            11          65
1            1          65-22
1            1          65-year-old
1            1          65000
6            9          66
1            1          662
4            7          67
1            1          67-31to
2            10          68
4            5          69
1            1          69th
1            1          6:30
3            206          7
3            21          70
1            12          700
1            1          707
1            1          70s'
1            1          70th
2            7          71
1            1          71-year-old
1            1          710000
1            1          713
4            12          72
2            2          72-year-old
4            8          73
1            1          732
1            1          733
3            4          74
3            11          75
1            1          75-year-old
1            1          750000
1            1          755
1            1          757
1            1          75the
1            1          760000
1            1          77-year-old
1            1          775
1            1          779
3            6          78
1            1          7800
1            5          79
7            272          8
3            15          80
1            1          800000
3            11          81
1            1          82
2            6          83
1            7          84
1            1          840
1            1          85-year-old
3            9          86
1            8          87
1            1          875
2            10          88
1            1          8962
3            313          9
3            5          9/11
1            1          9/11when
3            19          90
1            1          90-degree
1            1          90-page
1            1          900000
1            4          91
1            1          92-year-old
1            1          921000
1            5          95
1            12          96
1            1          97-gigabyte
1            41          98
1            1          9800
2            44          99
1            1          9:45
1            2          :the
1            2          =
1            0          ?
1            1          @healerhauler
1            1          @hillaryclinton
4            4          @nytpolitics
1            1          ______
1            1          `the
1            1          `well
1            1          `why
140            70759          a
2            2          aaron
1            1          aback
1            1          abad
1            4          abandon
4            4          abandoned
1            1          abandoning
1            1          abatingcnn's
5            7          abc
2            2          abc's
1            1          abc/washington
1            1          abdomen
2            5          abdul
1            1          abdulazeez
2            2          abdullah
1            1          aberly
1            1          abetted
1            1          abhor
3            3          abide
1            1          abided
1            1          abiding
1            1          abilities
17            57          ability
26            286          able
1            1          aboard
3            5          abolish
2            2          abolishing
1            1          abolition
4            4          aborted
1            1          abortifacients'
1            1          abortifacientsit
15            72          abortion
1            1          abortion"rubio
2            3          abortion;
1            1          abortionit
